4:46 PM - Race #77 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Florence HAMEL,Lachine,2:01.681,0:00.000
2,5,Maren BRADLEY,Rideau,2:02.595,0:00.914
3,3,Allie WANG,Lachine,2:02.819,0:01.138
4,4,Brianna SMITH,Maskwa,2:04.153,0:02.472
5,2,Emily BEST,Rideau,2:04.802,0:03.121
6,7,Ariane LOISEL,Lachine,2:04.848,0:03.167
7,1,Jonnie NEWMAN,Calgary,2:06.888,0:05.207
8,9,Calina BIDAL,Lachine,2:07.561,0:05.880
9,8,Mathilde PATRY,Trois Rivieres,2:09.733,0:08.052
