8:54 AM - Race #10 - Heat 2 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Jason BURKHOLDER,Burloak,3:54.536,0:00.000
2,6,Craig JOHNSON,Senobe,3:55.076,0:00.540
3,7,Jérémy LANTZ,Trois Rivieres,3:59.065,0:04.529
4,3,Mathieu GILBERT,Trois Rivieres,4:00.875,0:06.339
5,5,Nicholas MATVEEV,Balmy Beach,4:03.501,0:08.965
6,8,Jérôme DESROSIERS MCARTHUR,Lac-Beauport,4:05.513,0:10.977
7,2,Émile PAQUETTE,Pointe-Claire,4:11.421,0:16.885
8,1,Marko RADOVIC,False Creek,4:16.685,0:22.149
