M-12 femmes K-1 1000m,col_1,col_2,col_3
15:00 Course n° 117 M-12 femmes K-1 1000m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,Trois-Rivières 2013 Rosy Leblanc,,
4,Trois-Rivières 2013 Leanne Dionne Guay,,
5,Trois-Rivières 2013 Camille Aumais,,
6,Trois-Rivières 2013 Rosalie Aumais,,
7,Trois-Rivières 2013 Zoe Champoux,,
8,,,
9,,,
M-12 hommes K-1 1000m,,,
15:07 Course n° 118 M-12 hommes K-1 1000m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
1,,,
2,,,
3,,,
4,Trois-Rivières 2013 Max Leblanc,,
5,Lac-Beauport 2013 Nicolas Pigeon,,
6,,,
7,,,
8,,,
9,,,
Open femmes C-1 1000m,,,
