6:25 PM - Race #182 - Semi 1 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Conrad HOOGERBOORD, Tate LEVY",Senobe,1:37.525,0:00.000
2,6,"Emrick LECLERC, Thomas SINOTTE",Lac-Beauport,1:40.108,0:02.583
3,4,"Lukas GOAS, Douglas HUNTER",Kamloops,1:40.419,0:02.894
4,8,"Benjamin GAUDET, Julien POMERLEAU",Lac-Beauport,1:43.213,0:05.688
5,2,"Cody BARBRICK, Corbin COLVILLE",Cheema,1:43.747,0:06.222
6,9,"william TOWNSEND, Ben WALKER",Maskwa,1:44.141,0:06.616
7,3,"Alex DOYON, Jacob LÉVESQUE",Otterburn,1:45.419,0:07.894
8,1,"Jonathan HUNTINGTON, Ben ROBICHAUD",Senobe,1:49.413,0:11.888
9,7,"Mason LOWRY, Charlie ROGERS",Carleton Place,1:52.447,0:14.922
