12:36 PM - Race #126 - Heat 1 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,2:03.521,0:00.000
2,4,Eve WILSON,Wascana,2:07.475,0:03.954
3,6,Lilliana SATO,Richmond Hill,2:09.768,0:06.247
4,3,Malya GAGNON,Rideau,2:09.883,0:06.362
5,7,Honour MCQUAY,Sydenham,2:12.234,0:08.713
6,2,Natalie MCQUAY,Mississauga,2:16.326,0:12.805
7,1,Josie PATCHELL,Carleton Place,2:17.193,0:13.672
8,8,Marguerite GAREAU,Sherbrooke,2:21.406,0:17.885
9,9,Flavie LANGLOIS,Lac-Beauport,2:21.935,0:18.414
