2:32 PM - Race #141 - Semi 2 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th,col_1,col_2,col_3,col_4,col_5
+ 4x6th + 3 next BT to Final C; Rest Out,,,,,
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Owen MACLEAN,Balmy Beach,1:45.735,0:00.000
2,5,Harris HUNTER,Kamloops,1:47.339,0:01.604
3,4,Riley TAYLOR,Rideau,1:48.810,0:03.075
4,8,Oscar GRAVES,North Bay,1:50.080,0:04.345
5,2,Leif MITCHELL,Banook,1:51.051,0:05.316
6,7,Emrick LECLERC,Lac-Beauport,1:51.143,0:05.408
7,1,Louis Enzo ROY,Lac-Beauport,1:51.937,0:06.202
8,3,Benjamin GAUDET,Lac-Beauport,1:52.661,0:06.926
9,9,Benjamin PELLETIER,Trois Rivieres,1:56.281,0:10.546
