4:27 PM - Race #159 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Maxim GORELOV,Rideau,2:05.076,0:00.000
2,3,Matthew MACDONALD,Sack-a-Wa,2:05.120,0:00.044
3,4,Antoine GAMACHE,Otterburn,2:06.431,0:01.355
4,5,Sean GLYNN,Mississauga,2:06.542,0:01.466
5,9,Adam MARCOUX,Lachine,2:06.592,0:01.516
6,8,William WINTONIW,Toba,2:07.537,0:02.461
7,7,Wyatt DEEBLE,Mic Mac,2:07.898,0:02.822
8,2,Gabriel ARGANTE,Maskwa,2:09.076,0:04.000
9,1,Nathaniel PROVOST,Rideau,2:09.120,0:04.044
