2:48 PM - Race #145 - Semi 1 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Victoria TRAN,Maskwa,2:12.755,0:00.000
2,4,Emma MARSHALL,Balmy Beach,2:13.717,0:00.962
3,6,Alexandra SANGSTER,Maskwa,2:14.717,0:01.962
4,3,Elle MACKENZIE,Cheema,2:15.380,0:02.625
5,7,Claire MOLLARD,Mississauga,2:15.810,0:03.055
6,8,Julia PRICE,Rideau,2:15.864,0:03.109
7,2,Marcy MEISNER,Cheema,2:15.929,0:03.174
8,1,Flavie MARTIN,Trois Rivieres,2:29.033,0:16.278
9,9,Maëlle GIRARD,Lac-Beauport,2:31.081,0:18.326
