9:19 AM - Race #97 - Heat 2 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Andrew BILLARD,Maskwa,1:54.638,0:00.000
2,4,Émile BOUVIER,Pointe-Claire,1:56.161,0:01.523
3,6,Elliot ARNAUTOVITCH,Pointe-Claire,1:59.443,0:04.805
4,2,Jack CHAMBERS,Mississauga,2:01.178,0:06.540
5,1,Étienne GAMACHE,Otterburn,2:01.971,0:07.333
6,9,Konrad MORAWSKI,Mississauga,2:02.948,0:08.310
7,3,Bret HIMMELMAN,Maskwa,2:04.667,0:10.029
8,7,Cole NORMAN,Rideau,2:05.287,0:10.649
9,8,Tyler LAIDLAW,Sack-a-Wa,2:07.638,0:13.000
