5:27 PM - Race #174 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Eva LOOPER,Burloak,1:59.838,0:00.000
2,6,Brianna SMITH,Maskwa,2:00.927,0:01.089
3,5,Maren BRADLEY,Rideau,2:01.110,0:01.272
4,3,Allie WANG,Lachine,2:01.649,0:01.811
5,7,Ariane LOISEL,Lachine,2:02.460,0:02.622
6,1,Emily BEST,Rideau,2:03.655,0:03.817
7,2,Jonnie NEWMAN,Calgary,2:04.966,0:05.128
8,8,Calina BIDAL,Lachine,2:06.955,0:07.117
9,9,Mathilde PATRY,Trois Rivieres,2:09.838,0:10.000
