2:56 PM - Race #147 - Semi 3 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Isabel LOWRY,Carleton Place,2:10.551,0:00.000
2,4,Madeleine BEAUREGARD,Rideau,2:11.209,0:00.658
3,6,Ella COZENS,Cheema,2:13.942,0:03.391
4,3,Grace THEUNISSEN,Banook,2:14.774,0:04.223
5,8,Maya NOËL,Lac-Beauport,2:20.931,0:10.380
6,1,Leia STEPHENSON,Lac-Beauport,2:22.377,0:11.826
7,7,Abbie HAINES,Carleton Place,2:22.752,0:12.201
8,2,Esme BONING,Toba,2:31.904,0:21.353
9,9,Olivia DESROSIERS-MCARTHUR,Lac-Beauport,2:34.910,0:24.359
