12:12 PM - Race #120 - Heat 2 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Megan THOMPSON,Cheema,2:12.672,0:00.000
2,4,Emma MARSHALL,Balmy Beach,2:15.672,0:03.000
3,6,Grace THEUNISSEN,Banook,2:16.701,0:04.029
4,7,Abbie HAINES,Carleton Place,2:18.310,0:05.638
5,9,Kiira SAARENOJA,Calgary,2:23.787,0:11.115
6,3,Flavie MARTIN,Trois Rivieres,2:27.149,0:14.477
7,8,Julianne PRONOVOST,Otterburn,2:27.436,0:14.764
8,2,Winter DENT,Maskwa,2:27.747,0:15.075
9,1,Éloise GAMACHE,Otterburn,2:39.212,0:26.540
