3:00 PM - Race #148 - Semi 1 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Julia DEMCHUK,Calgary,1:59.629,0:00.000
2,6,Florence HAMEL,Lachine,2:00.726,0:01.097
3,3,Kristiane FREE,Calgary,2:00.737,0:01.108
4,4,Maren BRADLEY,Rideau,2:03.357,0:03.728
5,7,Allie WANG,Lachine,2:03.428,0:03.799
6,8,Ariane LOISEL,Lachine,2:03.813,0:04.184
7,2,Emily BEST,Rideau,2:06.123,0:06.494
8,1,Mathilde PATRY,Trois Rivieres,2:07.232,0:07.603
9,9,Anna-Marya IZMAYLOV,Sherbrooke,2:11.096,0:11.467
