4:19 PM - Race #157 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Connor FITZPATRICK,Senobe,1:48.208,0:00.000
2,4,Andrew BILLARD,Maskwa,1:49.306,0:01.098
3,7,Zachary KRALIK,Mississauga,1:49.692,0:01.484
4,6,Alix PLOMTEUX,Lac-Beauport,1:50.301,0:02.093
5,3,Nikita CIUDIN,Calgary,1:50.953,0:02.745
6,9,Viktor HARDY,Lac-Beauport,1:51.621,0:03.413
7,1,Duncan GILES,Senobe,1:52.241,0:04.033
8,2,Émile BOUVIER,Pointe-Claire,1:52.877,0:04.669
9,8,Elliot ARNAUTOVITCH,Pointe-Claire,1:54.746,0:06.538
