2:20 PM - Race #138 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Vincent JOURDENAIS,Trois Rivieres,1:41.741,0:00.000
2,2,Jason BURKHOLDER,Burloak,1:42.000,0:00.259
3,3,Mathieu GILBERT,Trois Rivieres,1:42.994,0:01.253
4,4,Alex CANNING,Banook,1:43.557,0:01.816
5,7,Cormac ADAMS,Burloak,1:44.316,0:02.575
6,6,Ryan NARODITSKY,Rideau,1:45.643,0:03.902
7,9,Jérémy LANTZ,Trois Rivieres,1:46.316,0:04.575
8,8,Cedric LIU,Pointe-Claire,1:49.310,0:07.569
9,1,Félix ALBERT,Trois Rivieres,1:56.080,0:14.339
