4:59 PM - Race #167 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Owen MACLEAN,Balmy Beach,1:43.014,0:00.000
2,3,Tate LEVY,Senobe,1:43.036,0:00.022
3,7,Harris HUNTER,Kamloops,1:43.536,0:00.522
4,8,Lukas GOAS,False Creek,1:45.536,0:02.522
5,5,Conrad HOOGERBOORD,Senobe,1:46.025,0:03.011
6,2,Michael CHABAN,Mississauga,1:46.409,0:03.395
7,9,Frédéric BRAIS,Rideau,1:46.697,0:03.683
8,6,Thomas SINOTTE,Lac-Beauport,1:47.075,0:04.061
9,1,Dyllan REDWOOD-WHEELER,Carleton Place,1:50.314,0:07.300
