2:08 PM - Race #135 - Semi 2 - Advancement/Progression: 1/3 to Final A; 4/6 to Final B; 7/9 to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Matthew BROWN,Maskwa,1:59.593,0:00.000
2,4,Josh SARGANT,Mississauga,2:01.478,0:01.885
3,3,Roenn HODGINS,Carleton Place,2:02.283,0:02.690
4,7,Adam SCHLOSSER,Rideau,2:02.944,0:03.351
5,5,Cameron HALL,Cheema,2:04.076,0:04.483
6,2,Baer ROBERTSON,Wascana,2:04.852,0:05.259
7,9,Antoine GAMACHE,Otterburn,2:07.455,0:07.862
8,1,Wyatt DEEBLE,Mic Mac,2:08.904,0:09.311
9,8,Nathaniel PROVOST,Rideau,2:19.472,0:19.879
