12:20 PM - Race #122 - Heat 4 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Isabel LOWRY,Carleton Place,2:11.744,0:00.000
2,5,Amelie LALIBERTE,Otterburn,2:15.003,0:03.259
3,6,Elle MACKENZIE,Cheema,2:16.664,0:04.920
4,7,Claire MOLLARD,Mississauga,2:18.785,0:07.041
5,1,Esme BONING,Toba,2:28.951,0:17.207
6,2,Abigail HARRINGTON,Lac-Beauport,2:31.739,0:19.995
7,8,Olivia DESROSIERS-MCARTHUR,Lac-Beauport,2:32.365,0:20.621
8,3,Taylor WELLAND,Mississauga,2:33.440,0:21.696
