5:39 PM - Race #177 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Katie GAUDET,Banook,2:07.945,0:00.000
2,2,Victoria LAVALLÉE-LATOUR,Sherbrooke,2:09.056,0:01.111
3,4,Justine TREMBLAY,Lac-Beauport,2:09.911,0:01.966
4,1,Honour MCQUAY,Sydenham,2:11.578,0:03.633
5,5,Malya GAGNON,Rideau,2:12.123,0:04.178
6,3,Abbie BEGBIE,Ottawa,2:12.395,0:04.450
7,7,Senika VELISEK,False Creek,2:12.884,0:04.939
8,9,Lyla BOYCHUK,Banook,2:13.223,0:05.278
9,8,Ellena KOZUSKANICH,Mic Mac,2:14.917,0:06.972
