6:41 PM - Race #186 - Semi 1 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Elizabeth FANOK, Cassie KENNY",Burloak,1:56.768,0:00.000
2,4,"Rachel JOU, Lilliana SATO",Richmond Hill,2:01.179,0:04.411
3,6,"Matilda BOWERS, Sofia MARTELI",Maskwa,2:01.596,0:04.828
4,7,"Marin MACNEIL, Catherine NORMAN",Mic Mac,2:05.946,0:09.178
5,3,"Flavie LANGLOIS, Margaux LOYER",Lac-Beauport,2:07.529,0:10.761
6,1,"Charlie LECLERC, Noémie PERREAULT",Sherbrooke,2:07.940,0:11.172
7,8,"Honour MCQUAY, Josie PATCHELL",Carleton Place,2:10.796,0:14.028
8,2,"Payton CLUETT, Ellena KOZUSKANICH",Mic Mac,2:11.785,0:15.017
9,9,"Amalia JORDAN, Abby NDEGWA",Calgary,2:19.612,0:22.844
