10:03 AM - Race #108 - Heat 1 - Advancement/Progression: 1/4 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Conrad HOOGERBOORD,Senobe,1:49.076,0:00.000
2,6,Riley TAYLOR,Rideau,1:49.789,0:00.713
3,7,Victor GIRARD,Lac-Beauport,1:50.651,0:01.575
4,1,Evan CUMMINGS,False Creek,1:51.387,0:02.311
5,9,Julien POMERLEAU,Lac-Beauport,1:51.933,0:02.857
6,4,Alessandro PUCCI,Rideau,1:52.697,0:03.621
7,8,Gavin BURKE,Rideau,1:55.502,0:06.426
8,2,Zakari SAUVÉ,Lac-Beauport,1:56.329,0:07.253
9,3,luke MACKENZIE,Maskwa,1:57.203,0:08.127
