3:08 PM - Race #150 - Semi 1 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th,col_1,col_2,col_3,col_4,col_5
+ 4x6th + 3 next BT to Final C; Rest Out,,,,,
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,1:57.931,0:00.000
2,4,Cassie KENNY,Burloak,1:59.833,0:01.902
3,3,Marie CHAMBERLAND,Lac-Beauport,2:00.338,0:02.407
4,6,Maea KNIGHTS,Burloak,2:02.594,0:04.663
5,7,Zoe HATFIELD,Ottawa,2:06.643,0:08.712
6,1,Marin MACNEIL,Mic Mac,2:09.257,0:11.326
7,8,Malya GAGNON,Rideau,2:10.958,0:13.027
8,2,Abbie BEGBIE,Ottawa,2:14.034,0:16.103
9,9,Ellena KOZUSKANICH,Mic Mac,2:16.154,0:18.223
