4:55 PM - Race #166 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Aiden KINNAIRD,Burloak,1:46.077,0:00.000
2,9,Douglas HUNTER,Kamloops,1:46.099,0:00.022
3,4,Damian HICKEY,Kamloops,1:46.183,0:00.106
4,7,Jonah QUESNEL,Balmy Beach,1:47.155,0:01.078
5,5,Riley TAYLOR,Rideau,1:48.061,0:01.984
6,2,Oscar GRAVES,North Bay,1:49.105,0:03.028
7,8,Lucas MANN,Calgary,1:49.527,0:03.450
8,1,Jacob LÉVESQUE,Otterburn,1:50.716,0:04.639
9,6,Nicholas LAPIERRE,Banook,1:51.505,0:05.428
