12:44 PM - Race #128 - Heat 3 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Kahlen TSZE,False Creek,2:05.990,0:00.000
2,5,Marie CHAMBERLAND,Lac-Beauport,2:06.858,0:00.868
3,6,Norah LEGGE,Banook,2:07.323,0:01.333
4,3,Victoria LAVALLÉE-LATOUR,Sherbrooke,2:08.479,0:02.489
5,2,Anika DU PLOOY,Maskwa,2:12.904,0:06.914
6,1,Noémie PERREAULT,Sherbrooke,2:18.243,0:12.253
7,8,Clara MEULEAU,Otterburn,2:18.375,0:12.385
8,7,Rachel JOU,Richmond Hill,2:19.639,0:13.649
9,9,Abby NDEGWA,Calgary,2:27.122,0:21.132
