9:15 AM - Race #197 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,"Grace THEUNISSEN, Victoria TRAN",Maskwa,2:05.192,0:00.000
2,4,"Amelie LALIBERTE, Megan THOMPSON",Cheema,2:06.025,0:00.833
3,6,"Ella COZENS, Emmerson EISENER",Cheema,2:06.281,0:01.089
4,8,"Katie COOPER, Elle MACKENZIE",Cheema,2:07.758,0:02.566
5,2,"Abbie HAINES, Julia PRICE",Rideau,2:10.303,0:05.111
6,7,"Megan MCFETERS, Marcy MEISNER",Cheema,2:11.081,0:05.889
7,1,"Kai CHOE, Kiira SAARENOJA",Calgary,2:16.719,0:11.527
8,9,"Maëlle GIRARD, Maya NOËL",Lac-Beauport,2:17.431,0:12.239
DNF,5,"Madeleine BEAUREGARD, Isabel LOWRY",Carleton Place,0:00.000,0:00.000
