Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Nikita CIUDIN,Calgary,2:04.601,0:00.000
2,1,Duncan GILES,Senobe,2:04.963,0:00.362
3,2,Elliot ARNAUTOVITCH,Pointe-Claire,2:04.998,0:00.397
4,5,Bret HIMMELMAN,Maskwa,2:06.251,0:01.650
5,7,Edgar C DÉSY,Lac-Beauport,2:06.590,0:01.989
6,8,Alexander MACNEIL,Maskwa,2:10.136,0:05.535
7,6,Eric CHOUINARD,Mic Mac,2:10.590,0:05.989
8,3,Édouard BEAUMIER,Lac-Beauport,2:13.572,0:08.971
9,9,Shawn GE,Burloak,2:14.417,0:09.816
