Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,2,Mathieu ST-PIERRE,Shawinigan,0:59.401,0:00.000
2,5,Brianna HENNESSY,Ottawa,1:02.481,0:03.080
3,7,Erica SCARFF,Mississauga,1:02.631,0:03.230
