Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Ryan NARODITSKY,Rideau,1:52.990,0:00.000
2,8,Mathieu GILBERT,Trois Rivieres,1:53.277,0:00.287
3,6,Alex ERITH-ELLWOOD,Senobe,1:53.795,0:00.805
4,2,Nathan KONÉ,Trois Rivieres,1:54.231,0:01.241
5,5,Jason BURKHOLDER,Burloak,1:54.904,0:01.914
6,4,Nathan DAOUST,Pointe-Claire,1:55.323,0:02.333
7,7,Raphaël CÔTÉ,Lac-Beauport,1:55.565,0:02.575
8,9,Alexander HOFEREK,Rideau,2:03.697,0:10.707
