Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Eric CHOUINARD,Mic Mac,2:02.687,0:00.000
2,5,Bret HIMMELMAN,Maskwa,2:03.060,0:00.373
3,9,Peter BRADLEY,Rideau,2:06.595,0:03.908
4,6,Alexander MACNEIL,Maskwa,2:07.819,0:05.132
5,2,Shawn GE,Burloak,2:09.951,0:07.264
6,8,Cole NORMAN,Rideau,2:11.031,0:08.344
7,7,Édouard BEAUMIER,Lac-Beauport,2:17.549,0:14.862
8,4,Edgar C DÉSY,Lac-Beauport,2:25.842,0:23.155
