Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Nicholas MATVEEV,Balmy Beach,1:48.390,0:00.000
2,4,Alex CANNING,Banook,1:51.045,0:02.655
3,7,Nathan DAOUST,Pointe-Claire,1:52.016,0:03.626
4,3,Raphaël CÔTÉ,Lac-Beauport,1:53.919,0:05.529
5,8,Craig JOHNSON,Senobe,1:56.689,0:08.299
6,6,Mathieu GILBERT,Trois Rivieres,2:01.137,0:12.747
