10:35 AM - Race #202 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Alex ERITH-ELLWOOD,Senobe,3:45.927,0:00.000
2,4,Jérémy LANTZ,Trois Rivieres,3:46.539,0:00.612
3,6,Tate LEVY,Senobe,3:46.555,0:00.628
4,3,Owen MACLEAN,Balmy Beach,3:47.139,0:01.212
5,7,Carson COREY,Burloak,3:48.877,0:02.950
6,1,Raphaël CÔTÉ,Lac-Beauport,3:57.877,0:11.950
7,2,Nehal DHILLON,Burloak,4:02.766,0:16.839
8,9,Ryan NARODITSKY,Rideau,4:08.983,0:23.056
SCR,8,Luke ENNS,Toba,0:00.000,0:00.000
