4:07 PM - Race #279 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,"Olivia DESROSIERS-MCARTHUR, Maëlle GIRARD, Emma-
Rose NADEAU, Maya NOËL",Lac-Beauport,4:46.976,0:00.000
2,4,"Emmerson EISENER, Megan MCFETERS, Marcy MEISNER,
Megan THOMPSON",Cheema,4:53.198,0:06.222
3,6,"Kate BRYANT, Alexandra SANGSTER, Ifi UZOCHUKWU,
Jessica WOOD",Maskwa,4:59.471,0:12.495
4,5,"Katie COOPER, Vienna MACLEAN, Erica SHEPPARD, Rory
SNO-WOOD",Cheema,5:05.259,0:18.283
5,8,"Lily MCCLELLAND, Evelyn ROSS, Haley SEBESTA, Sophie
WILLIAMS",North Bay,5:15.632,0:28.656
6,1,"Maelie LEVESQUE, Zulima NAVA-QUINTIN, Julianne
PRONOVOST, Coralie TIMMONS",Otterburn,5:16.671,0:29.695
7,2,"Olivia GIRARD, Pippa HARNETT, Sofia MSTOEV, Nambatya
MUWANGA",Calgary,5:18.804,0:31.828
8,9,"Julia CAMPBELL, Cohen COMEAU, Ella MACFARLANE,
Lillian WILE",Senobe,5:40.826,0:53.850
DSQ,3,"Julia BELLERBY, Kennedy MACDONALD, Kendall SMITH,
Taylor WELLAND",Mississauga,0:00.000,0:00.000
