1:52 PM - Race #147 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Jason BURKHOLDER,Burloak,3:34.949,0:00.000
2,3,Vincent JOURDENAIS,Trois Rivieres,3:35.027,0:00.078
3,2,Jérémy LANTZ,Trois Rivieres,3:35.082,0:00.133
4,6,Alex ERITH-ELLWOOD,Senobe,3:39.471,0:04.522
5,4,Carson COREY,Burloak,3:47.171,0:12.222
6,7,Jacob LÉVESQUE,Otterburn,3:52.138,0:17.189
7,8,Julien POMERLEAU,Lac-Beauport,3:52.732,0:17.783
8,1,Rémi LOISEL,Lachine,4:00.977,0:26.028
9,9,Cameron BROWN,Maskwa,4:05.043,0:30.094
