5:08 PM - Race #97 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Nolen MITCHELL,Banook,4:21.477,0:00.000
2,7,Roenn HODGINS,Carleton Place,4:24.133,0:02.656
3,4,Josh SARGANT,Mississauga,4:30.100,0:08.623
4,5,Spencer MCLEOD,Mississauga,4:33.172,0:11.695
5,1,Wyatt DEEBLE,Mic Mac,4:39.627,0:18.150
6,3,Mason HARA,Mississauga,4:40.039,0:18.562
7,9,Konstantine ARMSTRONG,Maskwa,4:42.261,0:20.784
8,2,Daniel KRAVCHUK,Mississauga,4:44.933,0:23.456
9,8,Maxim GORELOV,Rideau,4:49.089,0:27.612
