9:58 AM - Race #31 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Conrad HOOGERBOORD,Senobe,0:38.999,0:00.000
2,7,Harry BROWN,Cheema,0:39.688,0:00.689
3,2,Bogdan BARBA,Trois Rivieres,0:39.711,0:00.712
4,5,Benjamin PELLETIER,Trois Rivieres,0:40.183,0:01.184
5,6,Alessandro PUCCI,Rideau,0:40.566,0:01.567
6,3,Douglas HUNTER,Kamloops,0:40.849,0:01.850
7,8,Thomas COLHOUN,Burnaby,0:42.277,0:03.278
8,9,Sabe ROBERTSON,Wascana,0:42.488,0:03.489
9,1,Ruben DEME-LINDBERG,Rideau,0:42.944,0:03.945
