4:12 PM - Race #217 - Heat 2 - Advancement/Progression: First 3 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Matthew BROWN, Quintin BUGDEN",Maskwa,0:41.348,0:00.000
2,7,"Justin BOYKO, Lennart KANE",Calgary,0:43.287,0:01.939
3,5,"Noah AL HASHEMI, Sean GLYNN",Mississauga,0:43.943,0:02.595
4,4,"Corben HICKEY, Nate NEULS",Kamloops,0:44.643,0:03.295
5,2,"Laurean GALATAN, Adam MARCOUX",Lachine,0:45.504,0:04.156
6,1,"Owen CHOU, Everett HODGSON",Flatwater North,0:47.226,0:05.878
7,9,"Diego PADRON-CORBEIL, Jeremi SAUVÉ",Pointe-Claire,0:49.337,0:07.989
8,8,"Theo JUNAID-MACNEILL, Matthew MACDONALD",Banook,0:50.670,0:09.322
9,3,"Brock CLOUTHIER, Wes CLOUTHIER",North Bay,0:59.787,0:18.439
