3:43 PM - Race #275 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Alexandra SANGSTER, Victoria TRAN",Maskwa,4:28.019,0:00.000
2,6,"Ella COZENS, Elle MACKENZIE",Cheema,4:31.108,0:03.089
3,4,"Madeleine BEAUREGARD, Naomi LANGENBAHN",Rideau,4:31.319,0:03.300
4,2,"Lilah LESSARD PROPP, Kiira SAARENOJA",Calgary,4:44.347,0:16.328
5,3,"Esme BONING, Mischa GROVER",Toba,4:50.458,0:22.439
6,7,"Julia BELLERBY, Claire MOLLARD",Mississauga,4:52.152,0:24.133
7,9,"Nuala CLARK, Veronica RUMSCHEIDT",Rideau,4:56.286,0:28.267
8,8,"Maeva EMOND, Flavie MARTIN",Trois Rivieres,4:57.763,0:29.744
9,1,"Francesca ANDREWS, Rachel SMITH",Banook,5:05.063,0:37.044
