3:29 PM - Race #77 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Elliot ARNAUTOVITCH,Pointe-Claire,0:43.213,0:00.000
2,8,Nikita CIUDIN,Calgary,0:43.213,0:00.000
3,4,Émile BOUVIER,Pointe-Claire,0:43.747,0:00.534
4,6,Duncan GILES,Senobe,0:43.891,0:00.678
5,7,Alexander MACNEIL,Maskwa,0:44.380,0:01.167
6,3,Jeffrey SUN,Fort,0:44.591,0:01.378
7,9,Jeremy STOTT,Fort,0:46.036,0:02.823
8,1,Étienne GAMACHE,Otterburn,0:46.447,0:03.234
9,2,Aleksander SEREMAK,Toba,0:53.458,0:10.245
