2:25 PM - Race #149 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Lyla BOYCHUK, Elizabeth FANOK",Banook,1:51.602,0:00.000
2,4,"Matilda LAWSON-LONG, Kahlen TSZE",False Creek,1:53.152,0:01.550
3,2,"Matilda BOWERS, Claire MCKIM",Cheema,1:53.369,0:01.767
4,6,"Abbie BEGBIE, Zoe HATFIELD",Ottawa,1:53.547,0:01.945
5,7,"Isabella NIKITOVIC, Eve WILSON",Wascana,1:53.630,0:02.028
6,8,"Anika DU PLOOY, Grace HILTON",Maskwa,1:58.636,0:07.034
7,9,"Justine TREMBLAY, Maude VITTOZ",Lac-Beauport,1:59.430,0:07.828
8,1,"Juniper CODE, Ella SEMENIUK",Rideau,2:00.058,0:08.456
9,3,"Hayley BOSOVICH, Axeleena ROBERTSON",Wascana,2:05.763,0:14.161
