4:01 PM - Race #278 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Christos GIANNOU, Luke MACKENZIE, William TOWNSEND,
Ben WALKER",Maskwa,3:21.657,0:00.000
2,5,"Alexander HOLIC, Max IVANOV, Rick NATH, Michael SUN",Richmond Hill,3:23.251,0:01.594
3,4,"Jacob CÔTÉ, Victor GIRARD, Alexandre MORIN, Jonathan
PIGEON",Lac-Beauport,3:25.679,0:04.022
4,3,"Guillermo GONZALEZ, Eden MURRAY MARKS, Alex
SHERIDAN, Joe WILEY",Balmy Beach,3:30.196,0:08.539
5,8,"Hudson BROWN, Joseph COLDWELL, Ryan GOMEZ, Evan
VATERS",Maskwa,3:30.690,0:09.033
6,2,"gabriel BEATON, Adam JARRETT, Dane MORRISSEY, Anakin
PYE",Banook,3:31.279,0:09.622
7,1,"Alex DOYON, Émile DUBUC, Billy LIU, Edouard ROUSSEAU",Otterburn,3:37.762,0:16.105
8,9,"Ethan JOHNSON, Liam MACPHAIL, Owen PELTON, James
SWARBRIGG",Maskwa,3:38.974,0:17.317
9,7,"Jad BARRODI, Haydn CATLOW, Klaas DAM, Yikai LI",Burloak,3:46.140,0:24.483
