4:16 PM - Race #280 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Elliot ARNAUTOVITCH, Émile BOUVIER",Pointe-Claire,1:48.187,0:00.000
2,7,"Bret HIMMELMAN, Alexander MACNEIL",Maskwa,1:50.960,0:02.773
3,4,"Peter BRADLEY, Cole NORMAN",Rideau,1:50.993,0:02.806
4,9,"Eric CHOUINARD, Ryan CHOUINARD",Mic Mac,1:58.793,0:10.606
5,3,"Jack CHAMBERS, Lucas WILLIAMS",Mississauga,2:04.732,0:16.545
6,8,"Philippe LALIBERTÉ, Philippe RICHER-SIMARD",Otterburn,2:17.049,0:28.862
7,5,"Hayden MCCULLOCH, Landon MCQUARRIE",Fort,2:19.576,0:31.389
8,1,"Émile RAYMOND, Ludovik RIOUX",Otterburn,2:30.993,0:42.806
