5:25 PM - Race #100 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Jason BURKHOLDER,Burloak,1:44.429,0:00.000
2,4,Vincent JOURDENAIS,Trois Rivieres,1:45.223,0:00.794
3,6,Cormac ADAMS,Burloak,1:45.401,0:00.972
4,3,Jacob LÉVESQUE,Otterburn,1:51.606,0:07.177
5,2,Laurent ROULEAU,Lachine,1:54.617,0:10.188
6,7,Arthur MOREAU,Otterburn,1:55.712,0:11.283
7,8,Zakari SAUVÉ,Lachine,1:55.740,0:11.311
8,1,Rémi LOISEL,Lachine,1:57.501,0:13.072
9,9,Cameron BROWN,Maskwa,2:00.845,0:16.416
