11:57 AM - Race #50 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Justine TREMBLAY,Lac-Beauport,4:47.783,0:00.000
2,6,Sofia MARTELI,Maskwa,4:48.172,0:00.389
3,1,Marin MACNEIL,Mic Mac,4:49.350,0:01.567
4,5,Zoe HATFIELD,Ottawa,4:50.439,0:02.656
5,9,Juniper CODE,Rideau,4:59.383,0:11.600
6,2,Honour MCQUAY,Carleton Place,5:01.872,0:14.089
7,7,Maïté LÉGER,Lac-Beauport,5:05.678,0:17.895
8,8,Isabel CHRISTIE,Balmy Beach,5:05.878,0:18.095
9,3,Addison YUAN,Richmond Hill,5:06.594,0:18.811
