12:45 PM - Race #58 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Spencer MCLEOD,Mississauga,4:54.538,0:00.000
2,2,Mason HARA,Mississauga,5:05.399,0:10.861
3,3,Najib BITAR,Maskwa,5:09.571,0:15.033
4,4,Owen MILLER,Wascana,5:10.210,0:15.672
5,7,Magnus PATTERSON,Wascana,5:14.782,0:20.244
6,8,Nazar HORDOSIEVYCH,Calgary,5:35.705,0:41.167
7,9,Ryerson EISENER,Cheema,5:39.221,0:44.683
8,6,Cédric BOURGEOIS,Pointe-Claire,5:45.244,0:50.706
9,1,Théandre LEGRAND,Pointe-Claire,5:54.071,0:59.533
