4:50 PM - Race #94 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Elizabeth FANOK,Banook,4:20.463,0:00.000
2,4,Kahlen TSZE,False Creek,4:28.046,0:07.583
3,7,Eve WILSON,Wascana,4:29.435,0:08.972
4,2,Sofia MARTELI,Maskwa,4:30.741,0:10.278
5,3,Katie GAUDET,Banook,4:34.885,0:14.422
6,1,Marin MACNEIL,Mic Mac,4:36.252,0:15.789
7,8,Matilda BOWERS,Cheema,4:37.124,0:16.661
8,6,Justine TREMBLAY,Lac-Beauport,4:37.669,0:17.206
9,9,Zoe HATFIELD,Ottawa,4:38.652,0:18.189
