3:35 PM - Race #79 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Katie COOPER,Cheema,0:52.310,0:00.000
2,3,Kai CHOE,Calgary,0:52.843,0:00.533
3,6,Megan MCFETERS,Cheema,0:52.882,0:00.572
4,5,Megan THOMPSON,Cheema,0:53.143,0:00.833
5,7,Marcy MEISNER,Cheema,0:53.715,0:01.405
6,8,Grace THEUNISSEN,Banook,0:53.715,0:01.405
7,9,Julianne PRONOVOST,Otterburn,0:53.849,0:01.539
8,2,Maya NOËL,Lac-Beauport,0:54.221,0:01.911
9,1,Maëlle GIRARD,Lac-Beauport,0:56.471,0:04.161
