3:05 PM - Race #71 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Alec MACAULAY,Cheema,2:05.313,0:00.000
2,2,Michael ZINCK,Senobe,2:06.113,0:00.800
3,4,Shawn GE,Burloak,2:06.191,0:00.878
4,6,Baer ROBERTSON,Wascana,2:12.252,0:06.939
5,3,Corben HICKEY,Kamloops,2:12.424,0:07.111
6,9,William WINTONIW,Toba,2:19.874,0:14.561
7,1,Émile RAYMOND,Otterburn,2:23.091,0:17.778
8,8,Hayden MCCULLOCH,Fort,2:26.586,0:21.273
