3:41 PM - Race #81 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Nolen MITCHELL,Banook,0:45.529,0:00.000
2,6,Mason HARA,Mississauga,0:45.901,0:00.372
3,2,Spencer MCLEOD,Mississauga,0:46.346,0:00.817
4,8,Roenn HODGINS,Carleton Place,0:46.529,0:01.000
5,1,Daniel KRAVCHUK,Mississauga,0:47.679,0:02.150
6,5,Josh SARGANT,Mississauga,0:47.796,0:02.267
7,3,Maxim GORELOV,Rideau,0:47.963,0:02.434
8,7,Cole RAFUSE,Burloak,0:48.846,0:03.317
9,9,Wyatt DEEBLE,Mic Mac,0:48.901,0:03.372
