8:10 AM - Race #221 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Michael CHABAN, Ty COLLVER, Reuben LOZADA, Costin
NEAGOE",Mississauga,1:31.723,0:00.000
2,5,"Xavier HEBERT, Emrick LECLERC, Louis Enzo ROY, Thomas
SINOTTE",Lac-Beauport,1:33.023,0:01.300
3,9,"Nicholas LAPIERRE, Bo LOWERY, Leif MITCHELL, Samuel
RUGINSKI",Banook,1:33.734,0:02.011
4,6,"Sam ALLISON, Conrad HOOGERBOORD, Tate LEVY, Neil
RISSESCO",Senobe,1:33.784,0:02.061
5,3,"Damian HICKEY, Douglas HUNTER, Harris HUNTER, Joshua
REID",Kamloops,1:34.073,0:02.350
6,1,"Benjamin GAUDET, Julien POMERLEAU, Léo ROY, Zachary
TREMBLAY",Lac-Beauport,1:35.051,0:03.328
7,2,"Cody BARBRICK, Harry BROWN, Corbin COLVILLE, Ethan
QUIGLEY",Cheema,1:36.028,0:04.305
8,7,"Gavin BURKE, George FARNSWORTH, Alessandro PUCCI,
Riley TAYLOR",Rideau,1:36.145,0:04.422
9,8,"Xavier BIRD, Parry HAGER, Lucas MANN, Joshua ROWE",Calgary,1:36.873,0:05.150
