3:56 PM - Race #86 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Anna ARCHIBALD,Banook,0:43.965,0:00.000
2,5,Marie CHAMBERLAND,Lac-Beauport,0:45.448,0:01.483
3,4,Kate OSBORNE,Rideau,0:45.682,0:01.717
4,7,Sabrina TYRRELL,Burloak,0:45.804,0:01.839
5,2,Maika ST-YVES,Trois Rivieres,0:46.598,0:02.633
6,3,Emilee VATERS,Maskwa,0:46.859,0:02.894
7,8,Gaelle BOUSQUET,Maskwa,0:46.876,0:02.911
8,1,Anais LAPOINTE,Trois Rivieres,0:47.487,0:03.522
9,9,Malya GAGNON,Rideau,0:47.582,0:03.617
