8:03 AM - Race #109 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Nicholas MATVEEV, Lucas STEIN",Balmy Beach,0:32.562,0:00.000
2,6,"Alexander HOFEREK, David STEWART",Rideau,0:33.546,0:00.984
3,2,"Vincent JOURDENAIS, Jérémy PELLETIER",Trois Rivieres,0:34.101,0:01.539
4,5,"Luke ENNS, Simon HUNT",Toba,0:34.518,0:01.956
5,8,"Raphaël CÔTÉ, Jerome DESROSIERS-MCARTHUR",Lac-Beauport,0:34.629,0:02.067
6,3,"Brian MALFESI, Xander MOULAND",Ridge,0:35.496,0:02.934
7,1,"Don-Han LAU, James LAVALLÉE",Toba,0:35.607,0:03.045
8,7,"Marc-Alexandre GAGNON, Benjamin PELLETIER",Trois Rivieres,0:36.446,0:03.884
9,9,"Benjamin GAUDET, Julien POMERLEAU",Lac-Beauport,0:37.246,0:04.684
