3:27 PM - Race #160 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Émile BOUVIER,Pointe-Claire,4:07.088,0:00.000
2,2,Elliot ARNAUTOVITCH,Pointe-Claire,4:10.427,0:03.339
3,4,Duncan GILES,Senobe,4:10.915,0:03.827
4,3,Eric CHOUINARD,Mic Mac,4:11.127,0:04.039
5,6,Alexander MACNEIL,Maskwa,4:12.660,0:05.572
6,7,Cole NORMAN,Rideau,4:14.438,0:07.350
7,8,Konrad MORAWSKI,Mississauga,4:15.610,0:08.522
8,1,Jack CHAMBERS,Mississauga,4:29.388,0:22.300
9,9,Alexander SMITH,Fort,4:35.543,0:28.455
