9:52 AM - Race #121 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Leif MITCHELL,Banook,3:45.841,0:00.000
2,5,Harris HUNTER,Kamloops,3:46.685,0:00.844
3,1,Nicholas LAPIERRE,Banook,3:48.974,0:03.133
4,4,Thomas SINOTTE,Lac-Beauport,3:49.185,0:03.344
5,9,Michael CHABAN,Mississauga,3:51.996,0:06.155
6,7,Louis Enzo ROY,Lac-Beauport,3:53.307,0:07.466
7,2,Evan CUMMINGS,False Creek,3:53.607,0:07.766
8,3,Sabe ROBERTSON,Wascana,4:03.491,0:17.650
9,8,Mason PARRY,Flatwater North,4:09.463,0:23.622
