10:36 AM - Race #240 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Damian HICKEY, Douglas HUNTER",Kamloops,3:45.550,0:00.000
2,5,"Xavier BIRD, Lucas MANN",Calgary,3:47.406,0:01.856
3,3,"Bogdan BARBA, Benjamin PELLETIER",Trois Rivieres,3:49.072,0:03.522
4,8,"Léo ROY, Zachary TREMBLAY",Lac-Beauport,3:49.572,0:04.022
5,1,"Jonathan HUNTINGTON, Lucas MACLEAN",Senobe,3:50.300,0:04.750
6,6,"Ruben DEME-LINDBERG, Alessandro PUCCI",Rideau,3:59.789,0:14.239
7,7,"Greyson FOLLETT, Terry IGARASHI",Fort,4:04.834,0:19.284
8,9,"Ethan BEEHO, Charlie ROGERS",Balmy Beach,4:09.350,0:23.800
9,2,"Mason PARRY, Hunter STEHELIN",Flatwater North,4:15.817,0:30.267
