9:00 AM - Race #16 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Katie COOPER,Cheema,0:51.713,0:00.000
2,1,Marcy MEISNER,Cheema,0:52.885,0:01.172
3,4,Maya NOËL,Lac-Beauport,0:53.052,0:01.339
4,7,Emma-Rose NADEAU,Lac-Beauport,0:56.029,0:04.316
5,3,Katherine KERWIN,Burloak,0:56.213,0:04.500
6,5,Haley SEBESTA,North Bay,0:56.990,0:05.277
7,9,Olive ARCHAMBAULT,Pointe-Claire,0:57.357,0:05.644
8,8,Kennedy MACDONALD,Mississauga,0:59.207,0:07.494
9,2,Evelyn ROSS,North Bay,1:02.607,0:10.894
