Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Nadia DRAPEAU,Pointe-Claire,2:34.137,0:00.000
2,5,Lori VELISEK,False Creek,2:34.476,0:00.339
3,3,Karen ROSE,Wascana,2:45.426,0:11.289
4,1,Heather MACINTOSH,Rideau,2:55.937,0:21.800
5,8,Ruth CHAMBERS,Wascana,3:00.742,0:26.605
6,6,Pamela MACKAY,Maskwa,3:02.042,0:27.905
7,2,Leah MACDONALD,Maskwa,3:18.670,0:44.533
