8:57 AM - Race #15 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,1,Megan THOMPSON,Cheema,0:52.696,0:00.000
2,6,Kai CHOE,Calgary,0:52.780,0:00.084
3,4,Julianne PRONOVOST,Otterburn,0:53.374,0:00.678
4,8,Maëlle GIRARD,Lac-Beauport,0:53.996,0:01.300
5,5,Eliza GROB,Fort,0:55.774,0:03.078
6,7,Jane SCHLOSSER,Rideau,1:01.830,0:09.134
7,3,Nambatya MUWANGA,Calgary,1:05.280,0:12.584
8,2,Sophie WILLIAMS,North Bay,1:06.546,0:13.850
DNS,9,Vienna MACLEAN,Cheema,0:00.000,0:00.000
