3:50 PM - Race #84 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Vincent JOURDENAIS,Trois Rivieres,0:37.244,0:00.000
2,4,Alexander HOFEREK,Rideau,0:38.055,0:00.811
3,6,James LAVALLÉE,Toba,0:39.277,0:02.033
4,3,Shawn MYDAN,Greater Edmonton,0:39.377,0:02.133
5,2,Jérôme DESROSIERS MCARTHUR,Lac-Beauport,0:39.494,0:02.250
6,7,Léo ROY,Lac-Beauport,0:40.889,0:03.645
7,9,Benjamin GAUDET,Lac-Beauport,0:40.961,0:03.717
8,1,Cameron BROWN,Maskwa,0:41.016,0:03.772
9,8,Ethan QUIGLEY,Cheema,0:41.089,0:03.845
