4:20 PM - Race #161 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,2,Elizabeth FANOK,Banook,29:07.539,0:00.000
2,4,Eve WILSON,Wascana,30:07.078,0:59.539
3,18,Katie GAUDET,Banook,30:37.861,1:30.322
4,3,Justine TREMBLAY,Lac-Beauport,31:09.355,2:01.816
5,9,Matilda LAWSON-LONG,False Creek,31:19.894,2:12.355
6,28,Ella SEMENIUK,Rideau,31:28.766,2:21.227
7,26,Claire MCKIM,Cheema,31:34.405,2:26.866
8,17,Avalon LAWSON-LONG,False Creek,31:36.805,2:29.266
9,23,Matilda BOWERS,Cheema,31:39.433,2:31.894
10,5,Addison YUAN,Richmond Hill,32:01.350,2:53.811
11,13,Beatrice OGER,Rideau,32:10.722,3:03.183
12,8,Abbie BEGBIE,Ottawa,32:26.178,3:18.639
13,12,Noémie BRUNETTE,Cartierville,32:31.366,3:23.827
14,10,Axeleena ROBERTSON,Wascana,32:45.955,3:38.416
15,30,Eloise HEBERT,Lac-Sergent,32:48.383,3:40.844
16,21,Alison NGUYEN,Rideau,32:52.494,3:44.955
17,16,Charlie LECLERC,Sherbrooke,33:02.678,3:55.139
18,22,Hayley BOSOVICH,Wascana,33:06.716,3:59.177
19,14,Abigail PIPPARD,Calgary,33:13.489,4:05.950
20,25,Ingrid BROTEN,Saskatoon,33:17.650,4:10.111
21,6,Zoe HATFIELD,Ottawa,33:30.000,4:22.461
22,24,Willow VAN AKKER,Burnaby,33:31.250,4:23.711
23,19,Ophelia LIND,Balmy Beach,33:40.750,4:33.211
24,20,Noémie PERREAULT,Sherbrooke,33:59.028,4:51.489
25,15,Isabel CHRISTIE,Balmy Beach,34:25.739,5:18.200
26,27,Charlotte CHEN,Richmond Hill,35:03.283,5:55.744
27,7,Lyla BOYCHUK,Banook,36:05.622,6:58.083
DNF,1,Kahlen TSZE,False Creek,0:00.000,0:00.000
DNF,11,Audrey DUNCAN,Balmy Beach,0:00.000,0:00.000
DNF,29,Elena PELEKH,Burnaby,0:00.000,0:00.000
