3:26 PM - Race #76 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Lucas STEIN,Balmy Beach,0:37.827,0:00.000
2,5,Ryan NARODITSKY,Rideau,0:38.466,0:00.639
3,2,Nathan DAOUST,Lac-Beauport,0:38.594,0:00.767
4,7,David STEWART,Rideau,0:38.683,0:00.856
5,3,Alex ERITH-ELLWOOD,Senobe,0:38.800,0:00.973
6,9,Nehal DHILLON,Burloak,0:39.311,0:01.484
7,1,Jérémy PELLETIER,Trois Rivieres,0:39.627,0:01.800
8,8,Riley TAYLOR,Rideau,0:41.494,0:03.667
DSQ,6,Luke ENNS,Toba,0:00.000,0:00.000
