Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,Douglas ELLERY,Maskwa,2:21.322,0:00.000
2,6,Maxime COMPTE,Otterburn,2:26.311,0:04.989
3,5,Danylo PANASEIKO,Wascana,2:28.661,0:07.339
4,4,Eric WEISS,Mississauga,2:37.977,0:16.655
5,8,Jean- Francois BOUSQUET,Maskwa,2:39.866,0:18.544
6,3,Barry MACPHAIL,Maskwa,2:44.033,0:22.711
7,2,Abhijeetsingh RAMLUGUN,Burnaby,2:46.927,0:25.605
8,9,Eric MIHALOVIC,Pointe-Claire,2:48.350,0:27.028
9,1,Jesse MARYNOWYCZ,Pointe-Claire,3:24.872,1:03.550
