11:20 AM - Race #133 - Heat 2 - Advancement/Progression: First 3 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Katie COOPER, Emmerson EISENER, Marcy MEISNER,
Megan THOMPSON",Cheema,1:59.081,0:00.000
2,6,"Olivia DESROSIERS-MCARTHUR, Abigail HARRINGTON,
Emma-Rose NADEAU, Maya NOËL",Lac-Beauport,2:06.798,0:07.717
3,7,"Brooke BENJAMIN, Abianna LOPPIE, Sophie MITCHELL,
Chloe PIKE",Mic Mac,2:14.270,0:15.189
4,4,"Arabella HOLTZMAN, Elizabeth HOLTZMAN, Addie MASSON,
Jane SCHLOSSER",Rideau,2:20.453,0:21.372
