3:50 PM - Race #214 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,1,Harris HUNTER,Kamloops,24:28.196,0:00.000
2,31,Reuben LOZADA,Mississauga,24:51.430,0:23.234
3,9,Nicholas LAPIERRE,Banook,25:03.807,0:35.611
4,8,Leif MITCHELL,Banook,25:09.419,0:41.223
5,42,Louis Enzo ROY,Lac-Beauport,25:13.102,0:44.906
6,5,Gavin BURKE,Rideau,25:20.324,0:52.128
7,43,Xavier HEBERT,Lac-Sergent,25:28.746,1:00.550
8,17,Harry BROWN,Cheema,25:41.502,1:13.306
9,38,Emrick LECLERC,Lac-Beauport,25:56.780,1:28.584
10,15,Max IVANOV,Richmond Hill,26:10.913,1:42.717
11,28,Evan CUMMINGS,False Creek,26:28.819,2:00.623
12,13,Marcelo DE ANDRADE,Pointe-Claire,26:39.152,2:10.956
13,30,Bo LOWERY,Banook,26:41.080,2:12.884
14,10,Rylan CARRIGAN,Pisiquid,26:42.602,2:14.406
15,23,Corbin COLVILLE,Cheema,26:47.013,2:18.817
16,40,Cody BARBRICK,Cheema,26:50.752,2:22.556
17,33,Victor GIRARD,Lac-Beauport,26:55.369,2:27.173
18,32,Benjamin GAUDET,Lac-Beauport,26:56.030,2:27.834
19,44,Jacob LÉVESQUE,Otterburn,27:03.896,2:35.700
20,36,Julien POMERLEAU,Lac-Beauport,27:07.885,2:39.689
21,6,Douglas HUNTER,Kamloops,27:13.580,2:45.384
22,7,George FARNSWORTH,Rideau,27:15.102,2:46.906
23,4,Ben ROBICHAUD,Senobe,27:16.274,2:48.078
24,39,Christos GIANNOU,Maskwa,27:26.335,2:58.139
25,35,Samuel EDGERTON,Ridge,27:33.124,3:04.928
26,16,Alexander HOLIC,Richmond Hill,27:55.152,3:26.956
27,3,Charlie ROGERS,Balmy Beach,28:01.202,3:33.006
28,20,Sebastien SARATEANU,Sherbrooke,28:05.585,3:37.389
29,34,Zakari SAUVÉ,Pointe-Claire,28:21.052,3:52.856
30,25,Alex DOYON,Otterburn,28:21.991,3:53.795
31,19,Evan SUM,Richmond Hill,28:31.757,4:03.561
32,24,Lucas MANN,Calgary,28:36.857,4:08.661
33,41,gabriel BEATON,Sack-a-Wa,29:09.157,4:40.961
34,12,Gavin GARNETT,Mic Mac,29:09.969,4:41.773
35,37,Hayden DILL,Pisiquid,29:30.157,5:01.961
36,45,Breas ROSS,Toba,29:34.891,5:06.695
37,29,Ethan OLSON-MESA,Toba,30:13.041,5:44.845
38,26,Rémi LOISEL,Lachine,32:14.674,7:46.478
DNF,27,Xavier BIRD,Calgary,0:00.000,0:00.000
DNF,11,Laurent ROULEAU,Lachine,0:00.000,0:00.000
DNF,46,anakin PYE,Sack-a-Wa,0:00.000,0:00.000
