12:45 PM - Race #209 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,11,Jérémy LANTZ,Trois Rivieres,23:37.396,0:00.000
2,3,Nathan DAOUST,Lac-Beauport,24:16.679,0:39.283
3,2,Raphaël CÔTÉ,Lac-Beauport,24:47.890,1:10.494
4,6,Cedric LIU,Pointe-Claire,25:22.435,1:45.039
5,7,Arthur MOREAU,Otterburn,25:29.079,1:51.683
6,8,Émile PAQUETTE,Pointe-Claire,26:57.612,3:20.216
7,9,Marko RADOVIC,False Creek,27:37.579,4:00.183
8,10,Leo CARMICHAEL,Cascades,30:40.812,7:03.416
DNS,4,Vladimir DEMISHKEVICH,Pointe-Claire,0:00.000,0:00.000
DNF,5,Mathieu GILBERT,Trois Rivieres,0:00.000,0:00.000
DNF,12,Ryan NARODITSKY,Rideau,0:00.000,0:00.000
